Número,Nombre,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,tipo_contribuyente_id,CUIT,Alta,Baja,Activo,Frecuencia,Importe,nro_cuenta_id,Fecha de la donacion
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$774.305,11,21/07/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$609.982,11,23/08/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$680.131,11,21/09/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$130.889,11,22/10/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$760.502,11,21/11/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$469.510,11,23/12/2023
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$577.317,11,21/01/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$445.942,11,22/02/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$239.793,11,21/03/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$340.346,11,23/04/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$178.456,11,21/05/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$224.200,11,22/06/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$609.063,11,21/07/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$740.873,11,23/08/2024
D00113,Proyecto Gubernamental GOB,Proyecto Gubernamental,Estado,Contacto E,,proyectogubernamental@mail.com,(+)598 5550-9219,Observación D,GOB,1,29-75196406-1,21/01/2022,,SI,Mensual,$508.753,11,01/09/2024
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$193.728,12,22/01/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$139.844,12,23/02/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$45.549,12,22/03/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$87.788,12,24/04/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$57.471,12,22/05/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$40.464,12,23/06/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$190.604,12,22/07/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$197.183,12,23/08/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$46.112,12,22/09/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$132.359,12,23/10/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$180.459,12,22/11/2021
D00114,Latinoamerica Crece GOB,Latinoamerica Crece,Estado,Contacto ESD,,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,1,27-75193456-1,21/01/2020,25/12/2021,NO,Mensual,$113.088,12,23/12/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$180.488,12,25/12/2020
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$79.065,12,10/02/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$184.185,12,07/04/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$65.000,12,19/06/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$181.635,12,05/08/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$66.423,12,22/10/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$123.625,12,15/12/2021
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$89.993,12,03/02/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$11.747,12,21/04/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$43.728,12,09/06/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$108.254,12,26/08/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$53.331,12,14/10/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$156.418,12,1/12/2022
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$172.159,12,19/01/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$196.425,12,06/03/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$43.469,12,22/05/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$31.692,12,10/07/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$92.066,12,25/09/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$121.690,12,13/11/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$87.280,12,30/12/2023
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$85.785,12,17/02/2024
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$149.833,12,04/04/2024
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$86.746,12,22/05/2024
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$66.711,12,10/07/2024
D00115,Mercado Popular SAS,Mercado Popular,Campaña,Contacto VDS,,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,4,24-34193456-2,22/12/2020,,SI,Bimestral,$40.287,12,28/08/2024
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$72.299,9,23/12/2018
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$63.458,9,23/10/2019
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$173.463,9,15/11/2020
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$42.590,9,12/05/2021
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$58.332,9,23/12/2022
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$185.679,9,23/10/2023
D00116,Universidad del Sur S.A,Universidad del Sur,Empresa,Contacto V,,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,5,29-38793456-3,23/12/2018,,SI,Anual,$43.675,9,01/06/2024
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$387.885,9,24/01/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$540.813,9,24/02/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$274.968,9,24/03/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$276.867,9,24/04/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$460.149,9,24/05/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$247.913,9,24/06/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$565.616,9,24/07/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$219.966,9,24/08/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$264.022,9,24/09/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$354.871,9,24/10/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$244.865,9,24/11/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$325.793,9,24/12/2020
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$399.685,9,24/01/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$486.131,9,24/02/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$455.211,9,24/03/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$334.904,9,24/04/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$268.278,9,24/05/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$486.280,9,24/06/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$335.920,9,24/07/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$581.841,9,24/08/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$294.729,9,24/09/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$545.689,9,24/10/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$347.660,9,24/11/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$416.591,9,24/12/2021
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$572.610,9,24/01/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$317.989,9,24/02/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$477.604,9,24/03/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$484.857,9,24/04/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$299.187,9,24/05/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$361.284,9,24/06/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$375.092,9,24/07/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$378.265,9,24/08/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$398.047,9,24/09/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$529.570,9,24/10/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$572.356,9,24/11/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$280.450,9,24/12/2022
D00117,Automoviles Full S.A,Automoviles Full,Empresa,Contacto VS,,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,5,21-38712356-4,24/01/2020,02/02/2024,NO,Mensual,$233.279,9,24/01/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$329.609,9,25/01/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$280.069,9,10/03/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$258.235,9,18/05/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$371.932,9,07/07/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$488.646,9,22/09/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$243.430,9,14/11/2023
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$435.348,9,03/01/2024
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$540.812,9,19/03/2024
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$515.890,9,12/05/2024
D00120,Supermercado Vegano,Supermercado Vegano,Empresa,Contacto VG,,supermercadovegano@mail.com,(+)58 5550-9222,-,,5,34-01712356-5,25/01/2023,,SI,Bimestral,$593.821,9,28/07/2024
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$243.823,11,26/01/2018
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$272.276,11,15/03/2019
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$205.153,11,04/06/2020
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$218.438,11,22/08/2021
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$135.999,11,11/11/2022
D00121,Ministerio de Acción Comunitaria GOB,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,1,34-01712356-6,26/01/2018,,Si,Anual,$190.938,11,30/12/2023
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$66.227,9,03/01/2018
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$55.300,9,15/07/2018
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$84.760,9,08/01/2019
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$16.137,9,23/07/2019
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$18.448,9,12/01/2020
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$75.788,9,05/07/2020
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$24.378,9,18/01/2021
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$61.986,9,27/07/2021
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$82.997,9,22/01/2022
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$30.913,9,14/07/2022
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$92.208,9,07/01/2023
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$93.637,9,19/07/2023
D00122,El Parque SRL,El Parque,Empresa,Contacto ASD,,parque@mail.com,(+)591 5550-9224,Observación,SRL,5,24-78912356-7,01/01/2018,,SI,Semestral,$16.927,9,02/01/2024
